epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5885,1.99096,3.83048,1.09842,0.69394,0.55752,0.67362,0.27146,2.00977,1.36224,1.19056,0.000662526,0.000662526,0.000662526
2,24.2397,2.27936,2.48901,1.29178,0.63226,0.63717,0.63077,0.21494,2.26464,1.67469,1.28223,0.00131603,0.00131603,0.00131603
3,36.0088,2.35224,2.43255,1.36098,0.57737,0.5924,0.58554,0.21265,2.18098,1.70472,1.29383,0.00195634,0.00195634,0.00195634
4,47.7916,2.45481,2.29393,1.43696,0.43338,0.55752,0.42828,0.15277,2.33187,1.79029,1.43343,0.0019406,0.0019406,0.0019406
5,59.6193,2.39791,2.1033,1.45191,0.34844,0.22244,0.20263,0.07546,3.24589,3.7547,1.9367,0.0019208,0.0019208,0.0019208
6,71.4696,2.23665,1.50796,1.2332,0.53908,0.63717,0.58937,0.19568,2.28603,1.57813,1.25149,0.001901,0.001901,0.001901
7,83.2631,2.20266,1.517,1.28164,0.77765,0.68093,0.73937,0.30262,2.01702,1.22378,1.20945,0.0018812,0.0018812,0.0018812
8,96.909,2.2378,1.38356,1.18514,0.72813,0.69027,0.71422,0.30368,2.00434,1.30074,1.17369,0.0018614,0.0018614,0.0018614
9,110.593,2.02298,1.26194,1.12055,0.782,0.79646,0.82966,0.41025,1.755,1.12584,1.08788,0.0018416,0.0018416,0.0018416
10,124.16,1.94896,1.19973,1.09135,0.68533,0.80531,0.75042,0.36451,1.7365,1.14827,1.06231,0.0018218,0.0018218,0.0018218
11,135.97,1.87648,1.23645,1.09389,0.74635,0.73451,0.79422,0.38451,1.68648,1.13593,1.11812,0.001802,0.001802,0.001802
12,147.863,1.83502,1.20856,1.08159,0.6409,0.85841,0.76024,0.34034,1.77943,1.12564,1.0499,0.0017822,0.0017822,0.0017822
13,159.551,1.76849,1.14369,1.04204,0.7329,0.85841,0.85513,0.43044,1.63597,1.13777,1.02879,0.0017624,0.0017624,0.0017624
14,173.172,1.72885,1.03714,1.02183,0.79085,0.80531,0.85162,0.41908,1.71503,0.97613,1.04886,0.0017426,0.0017426,0.0017426
15,184.841,1.70567,1.06944,1.01465,0.74241,0.76991,0.82243,0.39651,1.78039,1.04868,1.0663,0.0017228,0.0017228,0.0017228
16,196.533,1.70294,1.13199,1.03825,0.83375,0.9469,0.93297,0.46284,1.79677,0.99931,1.03922,0.001703,0.001703,0.001703
17,210.132,1.74959,1.08413,1.04068,0.83018,0.85841,0.92042,0.49177,1.52368,0.89026,0.99627,0.0016832,0.0016832,0.0016832
