epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.50007,2.93988,17.6845,1.18983,0.27849,0.40708,0.18821,0.07021,2.48642,6.36048,0.92793,0.000650407,0.000650407,0.000650407
2,5.70138,2.59532,2.23848,1.03769,0.14044,0.14159,0.04539,0.01407,3.15056,7.90691,1.30517,0.001291,0.001291,0.001291
3,8.04216,2.4807,1.72634,1.01881,0.53002,0.46903,0.42328,0.15047,2.58756,nan,1.01057,0.00190518,0.00190518,0.00190518
4,11.2342,2.45763,1.41219,0.99665,0.50741,0.49558,0.40056,0.12958,2.54629,8.38288,1.07591,0.0018812,0.0018812,0.0018812
5,13.6149,2.39765,1.28944,1.00591,0.52624,0.61947,0.47653,0.1555,2.48146,1.20229,0.95993,0.0018416,0.0018416,0.0018416
6,16.7893,2.29194,1.28846,0.96767,0.60935,0.67257,0.60118,0.23038,2.34666,1.21583,0.89171,0.001802,0.001802,0.001802
7,20.0161,2.3739,1.35508,0.93654,0.57714,0.63717,0.58915,0.23105,2.3457,1.11052,0.91327,0.0017624,0.0017624,0.0017624
8,23.2096,2.27946,1.22224,0.93491,0.5915,0.63717,0.60815,0.23689,2.33681,1.08855,0.90053,0.0017228,0.0017228,0.0017228
9,26.4582,2.25421,1.1116,0.93197,0.7213,0.73292,0.66369,0.27409,2.18677,0.99318,0.89184,0.0016832,0.0016832,0.0016832
10,29.6294,2.16639,1.14178,0.92959,0.6217,0.66901,0.62556,0.23142,2.34133,1.08106,0.88103,0.0016436,0.0016436,0.0016436
11,32.0273,2.21105,1.11974,0.94268,0.66509,0.71681,0.64223,0.24535,2.35668,1.19405,0.91137,0.001604,0.001604,0.001604
12,34.4564,2.10442,1.08687,0.89805,0.73079,0.53982,0.56243,0.21124,2.325,1.16976,0.95234,0.0015644,0.0015644,0.0015644
13,36.8464,2.04946,1.06546,0.86359,0.71453,0.73451,0.7063,0.29832,2.14614,0.96135,0.84917,0.0015248,0.0015248,0.0015248
14,40.0713,2.05767,1.01813,0.87123,0.70478,0.75221,0.72703,0.32547,2.09368,0.92031,0.85917,0.0014852,0.0014852,0.0014852
15,43.2371,2.08063,1.02657,0.9176,0.74917,0.72566,0.70272,0.29893,2.09284,0.96351,0.84202,0.0014456,0.0014456,0.0014456
16,45.6462,1.94391,0.99234,0.87157,0.76888,0.70796,0.7515,0.30528,2.10976,0.98837,0.83689,0.001406,0.001406,0.001406
17,47.9974,1.93624,0.98522,0.86242,0.72447,0.74336,0.70031,0.32661,2.01268,0.9051,0.8226,0.0013664,0.0013664,0.0013664
18,51.1701,1.97997,0.96046,0.84694,0.7428,0.71564,0.74897,0.30422,2.07281,0.9139,0.82636,0.0013268,0.0013268,0.0013268
19,53.5243,1.96077,0.99984,0.88282,0.72377,0.71681,0.70743,0.32981,2.06725,0.91598,0.83425,0.0012872,0.0012872,0.0012872
20,56.6988,1.89563,0.92777,0.84,0.77321,0.78761,0.77922,0.34946,1.96598,0.85234,0.82382,0.0012476,0.0012476,0.0012476
21,59.8753,1.88019,0.86893,0.84237,0.76517,0.80739,0.79286,0.3424,2.0269,0.84876,0.82841,0.001208,0.001208,0.001208
22,62.2475,1.87275,0.87822,0.82228,0.76866,0.76106,0.79345,0.32454,2.02312,0.91413,0.82196,0.0011684,0.0011684,0.0011684
23,64.6574,1.97363,0.93409,0.8711,0.77331,0.72453,0.72445,0.31302,1.99515,0.82764,0.81026,0.0011288,0.0011288,0.0011288
24,67.0359,1.83957,0.8907,0.84479,0.78111,0.76991,0.75875,0.32754,2.02624,0.83094,0.82062,0.0010892,0.0010892,0.0010892
25,69.4292,1.76228,0.82517,0.82083,0.79205,0.77526,0.79607,0.39654,1.94677,0.76408,0.80572,0.0010496,0.0010496,0.0010496
26,72.627,1.78877,0.82486,0.81158,0.83222,0.79013,0.79641,0.41498,1.8327,0.74884,0.79765,0.00101,0.00101,0.00101
27,75.8159,1.68879,0.816,0.80342,0.83712,0.82301,0.79741,0.41106,1.84162,0.75582,0.79604,0.0009704,0.0009704,0.0009704
28,78.1789,1.67568,0.82482,0.81039,0.82214,0.81813,0.79894,0.40715,1.81233,0.75022,0.79497,0.0009308,0.0009308,0.0009308
29,80.5472,1.73295,0.8047,0.82081,0.8554,0.71681,0.78373,0.41995,1.86532,0.74746,0.7969,0.0008912,0.0008912,0.0008912
30,83.7278,1.66007,0.77205,0.79712,0.84157,0.76106,0.80025,0.42469,1.78531,0.73344,0.78494,0.0008516,0.0008516,0.0008516
31,86.9032,1.79429,0.80087,0.80305,0.7608,0.81626,0.79332,0.40496,1.88552,0.76727,0.78692,0.000812,0.000812,0.000812
32,89.2529,1.76975,0.79321,0.81279,0.76055,0.79646,0.76366,0.38091,1.80402,0.76766,0.78877,0.0007724,0.0007724,0.0007724
